name,genre,year_of_release,publisher,sales,critic_score,user_score,critic_user_diff,developer,rating,platform,year_choices,stat_diff
Harry Potter and the Prisoner of Azkaban,Action,2004,Electronic Arts,1.02,70,87,-17,EA,E,PS2,2004,No
Assassin's Creed: Rogue,Action,2014,Ubisoft,1.01,72,73,-1,Ubisoft,M,X360,2014,No
Rayman Legends,Platform,2014,Ubisoft,1.01,90,85,5,Ubisoft,E10+,PS4,2014,No
Prince of Persia,Action,2008,Ubisoft,1.01,81,70,11,Ubisoft,T,X360,2008,No
ZombiU,Action,2012,Ubisoft,1.01,77,77,0,Ubisoft,M,WiiU,2012,No
NERF N-Strike Elite,Shooter,2009,Electronic Arts,1,67,45,22,EA,E10+,Wii,2009,No
SoulCalibur II,Fighting,2003,Other,1,92,89,3,Namco,T,XB,2003,No
Dynasty Warriors 3: Xtreme Legends,Action,2002,Tecmo Koei,1,72,93,-21,Omega Force,T,PS2,2002,No
Just Dance 2014,Misc,2013,Ubisoft,0.99,79,78,1,Ubisoft,E10+,X360,2013,No
NCAA Football 12,Sports,2011,Electronic Arts,0.99,82,66,16,EA,E,X360,2011,No
UFC Undisputed 3,Action,2012,Other,0.99,85,76,9,Yuke's,T,X360,2012,No
DiRT 2,Racing,2009,Codemasters,0.99,87,82,5,Codemasters,T,PS3,2009,No
Guitar Hero: Aerosmith,Misc,2008,Activision,0.99,70,50,20,Neversoft Entertainment,T,PS3,2008,No
Apollo Justice: Ace Attorney,Adventure,2007,Capcom,0.99,78,81,-3,Capcom,T,DS,2007,No
Pro Evolution Soccer 2008,Sports,2008,Konami Digital Entertainment,0.98,80,68,12,Konami,E,PSP,2008,No
FIFA Soccer 10,Sports,2009,Electronic Arts,0.98,75,62,13,EA,E,Wii,2009,No
WWE SmackDown vs Raw 2008,Fighting,2007,Other,0.98,59,59,0,Yuke's,T,Wii,2007,No
Tom Clancy's Splinter Cell: Blacklist,Action,2013,Ubisoft,0.98,82,75,7,Ubisoft,M,X360,2013,No
NBA 2K10,Sports,2009,Take-Two Interactive,0.97,82,76,6,Visual Concepts,E,X360,2009,No
NCAA Football 06,Sports,2005,Electronic Arts,0.97,87,83,4,EA,E,XB,2005,No
Madden NFL 08,Sports,2007,Electronic Arts,0.97,81,53,28,EA,E,PS3,2007,Yes
NHL 2004,Sports,2003,Electronic Arts,0.97,85,76,9,EA,E,PS2,2003,No
FIFA Soccer 2005,Sports,2004,Electronic Arts,0.97,81,87,-6,EA,E,XB,2004,No
Band Hero,Misc,2009,Activision,0.97,79,66,13,Vicarious Visions,E10+,Wii,2009,No
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,0.97,84,91,-7,Traveller's Tales,E10+,GC,2006,No
Far Cry 3,Shooter,2012,Ubisoft,0.96,88,82,6,Ubisoft,M,PC,2012,No
NHL 2001,Sports,2000,Electronic Arts,0.96,85,81,4,EA,E,PS2,2000,No
Mortal Kombat: Deadly Alliance,Fighting,2002,Midway Games,0.96,81,84,-3,Midway,M,XB,2002,No
ESPN NBA 2K5,Sports,2004,Other,0.95,85,87,-2,Visual Concepts,E,XB,2004,No
My Weight Loss Coach,Sports,2008,Ubisoft,0.95,63,76,-13,Ubisoft,E,DS,2008,No
Tom Clancy's Splinter Cell: Chaos Theory,Action,2005,Ubisoft,0.95,87,86,1,Ubisoft,M,PS2,2005,No
Pro Evolution Soccer 2014,Action,2013,Konami Digital Entertainment,0.95,78,41,37,Konami,E,PS3,2013,Yes
Tom Clancy's Ghost Recon: Future Soldier,Shooter,2012,Ubisoft,0.95,79,69,10,Ubisoft,M,PS3,2012,No
Driver: San Francisco,Racing,2011,Ubisoft,0.95,79,77,2,Ubisoft,T,PS3,2011,No
Army of Two: The 40th Day,Shooter,2010,Electronic Arts,0.95,73,73,0,EA,M,X360,2010,No
Lost Planet 2,Shooter,2010,Capcom,0.95,68,69,-1,Capcom,T,PS3,2010,No
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,0.95,73,71,2,Traveller's Tales,E10+,PS3,2011,No
Star Fox 64 3D,Shooter,2011,Nintendo,0.94,81,82,-1,Nintendo,E10+,3DS,2011,No
Tom Clancy's Splinter Cell: Blacklist,Action,2013,Ubisoft,0.94,84,77,7,Ubisoft,M,PS3,2013,No
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.94,78,70,8,Yuke's,T,PS3,2008,No
NCAA Football 10,Sports,2009,Electronic Arts,0.94,83,67,16,EA,E,X360,2009,No
Prince of Persia: The Sands of Time,Action,2003,Ubisoft,0.94,92,78,14,Ubisoft,T,XB,2003,No
MLB 06: The Show,Sports,2006,Sony Computer Entertainment,0.94,83,89,-6,EA,E,PS2,2006,No
NHL 2003,Sports,2002,Electronic Arts,0.93,79,68,11,EA,E,PS2,2002,No
EA Sports UFC 2,Sports,2016,Electronic Arts,0.93,79,62,17,EA,T,PS4,2016,No
Tony Hawk's Pro Skater 4,Sports,2002,Activision,0.93,90,85,5,Neversoft Entertainment,T,XB,2002,No
Guitar Hero: Metallica,Misc,2009,Activision,0.93,85,86,-1,Neversoft Entertainment,T,Wii,2009,No
Teenage Mutant Ninja Turtles,Action,2003,Other,0.93,71,88,-17,Konami,E,GBA,2003,No
MLB 07: The Show,Sports,2007,Sony Computer Entertainment,0.93,83,86,-3,EA,E,PS2,2007,No
Operation Flashpoint: Dragon Rising,Shooter,2009,Codemasters,0.93,77,78,-1,Codemasters,M,X360,2009,No
Lego Batman 3: Beyond Gotham,Action,2014,Warner Bros. Interactive Entertainment,0.93,73,71,2,TT Games,E10+,PS4,2014,No
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,0.93,80,68,12,TT Games,E10+,PS3,2014,No
Assassin's Creed III,Action,2012,Ubisoft,0.93,80,62,18,Ubisoft,M,PC,2012,No
NCAA Football 11,Sports,2010,Electronic Arts,0.92,86,71,15,EA,E,X360,2010,No
Phoenix Wright: Ace Attorney,Adventure,2005,Capcom,0.92,81,92,-11,Capcom,T,DS,2005,No
MLB 15: The Show,Sports,2015,Sony Computer Entertainment,0.92,80,78,2,EA,E,PS4,2015,No
MLB 12: The Show,Sports,2012,Sony Computer Entertainment,0.92,87,75,12,EA,E,PS3,2012,No
Wii Play: Motion,Misc,2011,Nintendo,0.92,60,61,-1,Nintendo,E10+,Wii,2011,No
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.92,79,71,8,Yuke's,T,X360,2008,No
EA Sports Active 2,Sports,2010,Electronic Arts,0.91,78,54,24,EA,E,PS3,2010,No
Knockout Kings 2002,Sports,2002,Electronic Arts,0.91,76,81,-5,EA,T,PS2,2002,No
Tom Clancy's EndWar,Strategy,2008,Ubisoft,0.91,77,72,5,Ubisoft,T,X360,2008,No
Colin McRae Rally 2.0,Racing,2000,Codemasters,0.91,90,87,3,Codemasters,E,PS,2000,No
Dynasty Warriors 7,Action,2011,Tecmo Koei,0.91,57,74,-17,Omega Force,T,PS3,2011,No
NBA 2K14,Sports,2013,Take-Two Interactive,0.91,86,57,29,Visual Concepts,E,XOne,2013,Yes
SSX,Sports,2012,Electronic Arts,0.91,81,68,13,EA,E,PS3,2012,No
Operation Flashpoint: Dragon Rising,Shooter,2009,Codemasters,0.91,76,65,11,Codemasters,M,PS3,2009,No
Tiger Woods PGA Tour 2002,Sports,2002,Electronic Arts,0.9,80,76,4,EA,E,PS2,2002,No
Street Fighter V,Fighting,2016,Capcom,0.9,77,34,43,Capcom,T,PS4,2016,Yes
Marvel: Ultimate Alliance 2,Role-Playing,2009,Activision,0.9,73,73,0,Vicarious Visions,T,X360,2009,No
LEGO Jurassic World,Action,2015,Warner Bros. Interactive Entertainment,0.9,70,70,0,TT Games,E10+,PS4,2015,No
Madden NFL 25,Sports,2013,Electronic Arts,0.9,74,52,22,EA,E,PS4,2013,No
Spider-Man 3,Platform,2007,Activision,0.9,50,65,-15,Vicarious Visions,T,PS2,2007,No
James Bond 007: Agent Under Fire,Shooter,2002,Electronic Arts,0.9,71,75,-4,EA,T,XB,2002,No
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,0.9,61,52,9,TT Games,E10+,3DS,2013,No
NBA Live 2005,Sports,2004,Electronic Arts,0.9,85,76,9,EA,E,XB,2004,No
Blitz: The League,Sports,2005,Other,0.89,76,80,-4,Midway,M,PS2,2005,No
Tiger Woods PGA Tour 06,Sports,2005,Electronic Arts,0.89,83,62,21,EA,E,PS2,2005,No
FIFA Street,Sports,2012,Electronic Arts,0.89,77,67,10,EA,E,X360,2012,No
Classic NES Series: The Legend of Zelda,Adventure,2004,Nintendo,0.89,84,86,-2,Nintendo,E,GBA,2004,No
Finding Nemo,Action,2003,Other,0.89,62,55,7,Traveller's Tales,E,GC,2003,No
Ace Combat 2,Simulation,1997,Sony Computer Entertainment,0.89,83,82,1,Namco,T,PS,Before 2000,No
NFL 2K2,Sports,2001,Other,0.89,85,75,10,Visual Concepts,E,PS2,2001,No
Tiger Woods PGA Tour 12: The Masters,Sports,2011,Electronic Arts,0.89,80,73,7,EA,E,PS3,2011,No
FIFA Soccer 09 All-Play,Sports,2008,Electronic Arts,0.89,80,84,-4,EA,E,Wii,2008,No
LEGO Indiana Jones 2: The Adventure Continues,Action,2009,Activision,0.89,70,71,-1,Traveller's Tales,E10+,PS3,2009,No
NCAA Football 13,Action,2012,Electronic Arts,0.89,79,41,38,EA,E,PS3,2012,Yes
The Simpsons Game,Action,2007,Electronic Arts,0.88,71,75,-4,EA,T,PS3,2007,No
NBA 2K6,Action,2005,Take-Two Interactive,0.88,84,83,1,Visual Concepts,E,PS2,2005,No
Monster 4X4: World Circuit,Racing,2006,Ubisoft,0.88,51,78,-27,Ubisoft,E,Wii,2006,Yes
Far Cry: Primal,Action,2016,Ubisoft,0.88,77,64,13,Ubisoft,M,XOne,2016,No
Resident Evil: Revelations,Action,2012,Capcom,0.88,82,85,-3,Capcom,M,3DS,2012,No
WWE SmackDown vs. Raw 2011,Fighting,2010,Other,0.88,75,76,-1,Yuke's,T,X360,2010,No
Madden NFL 08,Sports,2007,Electronic Arts,0.87,76,68,8,EA,E,Wii,2007,No
Michael Jackson: The Experience,Misc,2011,Ubisoft,0.87,63,68,-5,Ubisoft,E10+,X360,2011,No
GRID,Racing,2008,Codemasters,0.87,87,79,8,Codemasters,E,X360,2008,No
DiRT,Racing,2007,Codemasters,0.87,83,74,9,Codemasters,E,X360,2007,No
Fight Night Round 2,Fighting,2005,Electronic Arts,0.87,88,90,-2,EA,T,PS2,2005,No
Warriors Orochi,Action,2007,Tecmo Koei,0.87,55,82,-27,Omega Force,T,PS2,2007,Yes
Guitar Hero: Warriors of Rock,Misc,2010,Activision,0.86,72,65,7,Neversoft Entertainment,T,X360,2010,No
Dynasty Warriors 4: Xtreme Legends,Action,2003,Tecmo Koei,0.86,72,91,-19,Omega Force,T,PS2,2003,No
2010 FIFA World Cup South Africa,Sports,2010,Electronic Arts,0.85,83,81,2,EA,E,X360,2010,No
NBA 2K8,Sports,2007,Take-Two Interactive,0.85,81,70,11,Visual Concepts,E,X360,2007,No
Tiger Woods PGA Tour 2005,Sports,2004,Electronic Arts,0.85,88,89,-1,EA,E,XB,2004,No
Wii Fit U,Sports,2013,Nintendo,0.85,72,77,-5,Nintendo,E,WiiU,2013,No
NCAA Football 11,Sports,2010,Electronic Arts,0.85,85,74,11,EA,E,PS3,2010,No
Army of Two: The 40th Day,Shooter,2010,Electronic Arts,0.85,74,70,4,EA,M,PS3,2010,No
NBA 2K10,Sports,2009,Take-Two Interactive,0.84,83,78,5,Visual Concepts,E,PS3,2009,No
Skate 2,Sports,2009,Electronic Arts,0.84,84,78,6,EA,T,PS3,2009,No
ESPN College Hoops 2K5,Sports,2004,Other,0.84,86,81,5,Visual Concepts,E,PS2,2004,No
NCAA Football 14,Sports,2013,Electronic Arts,0.84,77,62,15,EA,E,PS3,2013,No
Metroid: Zero Mission,Adventure,2004,Nintendo,0.84,89,90,-1,Nintendo,E,GBA,2004,No
Blazing Angels: Squadrons of WWII,Simulation,2007,Ubisoft,0.83,57,67,-10,Ubisoft,T,Wii,2007,No
Madden NFL 09 All-Play,Sports,2008,Electronic Arts,0.83,82,72,10,EA,E,Wii,2008,No
Dynasty Warriors 2,Action,2000,Other,0.83,75,88,-13,Omega Force,T,PS2,2000,No
NCAA Football 12,Sports,2011,Electronic Arts,0.83,82,58,24,EA,E,PS3,2011,No
Tiger Woods PGA Tour 11,Sports,2010,Electronic Arts,0.83,78,67,11,EA,E,PS3,2010,No
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.83,79,85,-6,Yuke's,T,Wii,2008,No
Need for Speed: Nitro,Racing,2009,Electronic Arts,0.83,69,74,-5,EA,E10+,Wii,2009,No
Street Fighter X Tekken,Fighting,2012,Capcom,0.83,84,53,31,Capcom,T,PS3,2012,Yes
Tony Hawk's Pro Skater 3,Sports,2001,Activision,0.82,91,90,1,Neversoft Entertainment,T,GC,2001,No
Need for Speed: Hot Pursuit 2,Racing,2002,Electronic Arts,0.82,75,64,11,EA,E,XB,2002,No
Stranglehold,Shooter,2007,Midway Games,0.82,77,76,1,Midway,M,X360,2007,No
Tales of Destiny II,Role-Playing,2000,Other,0.81,78,87,-9,Namco,T,PS,2000,No
The Legend of Zelda: Four Swords Adventures,Action,2004,Nintendo,0.81,86,72,14,Nintendo,E,GC,2004,No
Pro Evolution Soccer 2010,Sports,2009,Konami Digital Entertainment,0.81,78,76,2,Konami,E,X360,2009,No
Tom Clancy's Rainbow Six 3,Shooter,2004,Ubisoft,0.81,70,82,-12,Ubisoft,M,PS2,2004,No
Madden NFL 25,Sports,2013,Electronic Arts,0.81,73,59,14,EA,E,XOne,2013,No
NCAA Football 10,Sports,2009,Electronic Arts,0.81,80,69,11,EA,E,PS3,2009,No
Guitar Hero: Warriors of Rock,Misc,2010,Activision,0.81,74,71,3,Neversoft Entertainment,T,PS3,2010,No
The Sims 2,Simulation,2005,Electronic Arts,0.81,75,44,31,Maxis,T,PS2,2005,Yes
DiRT 2,Racing,2009,Codemasters,0.8,87,82,5,Codemasters,T,X360,2009,No
Prince of Persia: Warrior Within,Action,2004,Ubisoft,0.8,83,75,8,Ubisoft,M,XB,2004,No
Pro Evolution Soccer 2010,Sports,2009,Konami Digital Entertainment,0.8,72,46,26,Konami,E,PSP,2009,Yes
Guitar Hero: Metallica,Misc,2009,Activision,0.8,84,81,3,Neversoft Entertainment,T,X360,2009,No
Need for Speed: Hot Pursuit 2,Racing,2002,Electronic Arts,0.8,68,83,-15,EA,E,GC,2002,No
Rayman Raving Rabbids 2,Misc,2007,Ubisoft,0.8,57,70,-13,Ubisoft,E10+,DS,2007,No
The Sims 2: Pets,Simulation,2006,Electronic Arts,0.79,57,73,-16,Maxis,T,PSP,2006,No
pro evolution soccer 2011,Sports,2010,Konami Digital Entertainment,0.79,74,58,16,Konami,E,PSP,2010,No
The Godfather II,Action,2009,Electronic Arts,0.79,65,69,-4,EA,M,X360,2009,No
Dragon's Dogma,Role-Playing,2012,Capcom,0.79,75,78,-3,Capcom,M,X360,2012,No
Pro Evolution Soccer 2016,Sports,2015,Konami Digital Entertainment,0.79,87,71,16,Konami,E,PS4,2015,No
Band Hero,Misc,2009,Activision,0.79,76,50,26,Neversoft Entertainment,E10+,X360,2009,Yes
NCAA Football 08,Sports,2007,Electronic Arts,0.79,83,83,0,EA,E,PS2,2007,No
FIFA Soccer 2004,Sports,2003,Electronic Arts,0.79,82,82,0,EA,E,XB,2003,No
The Sims 2: Castaway,Simulation,2007,Electronic Arts,0.79,64,73,-9,Maxis,E10+,PSP,2007,No
WWE 2K15,Sports,2014,Take-Two Interactive,0.78,55,31,24,Yuke's,T,PS3,2014,No
Tiger Woods PGA Tour 10,Sports,2009,Electronic Arts,0.78,81,77,4,EA,E,PS3,2009,No
Tom Clancy's Splinter Cell: Double Agent,Action,2006,Ubisoft,0.78,85,81,4,Ubisoft,M,X360,2006,No
Fight Night Champion,Fighting,2011,Electronic Arts,0.78,86,74,12,EA,M,X360,2011,No
Need for Speed: ProStreet,Racing,2008,Electronic Arts,0.77,57,71,-14,EA,E,PSP,2008,No
Marvel Nemesis: Rise of the Imperfects,Fighting,2005,Electronic Arts,0.77,53,63,-10,EA,T,PS2,2005,No
Maximo: Ghosts to Glory,Platform,2001,Capcom,0.77,84,87,-3,Capcom,T,PS2,2001,No
Metroid Prime Hunters,Shooter,2006,Nintendo,0.76,85,80,5,Nintendo,T,DS,2006,No
The Sims 3,Simulation,2011,Electronic Arts,0.76,52,33,19,EA,T,3DS,2011,No
Mortal Kombat: Deception,Fighting,2004,Midway Games,0.76,81,88,-7,Midway,M,XB,2004,No
That's So Raven,Adventure,2004,Other,0.76,39,76,-37,Vicarious Visions,E,GBA,2004,Yes
Harry Potter and the Half-Blood Prince,Action,2009,Electronic Arts,0.75,60,60,0,EA,E10+,Wii,2009,No
Mega Man X5,Platform,2000,Capcom,0.75,76,89,-13,Capcom,E,PS,2000,No
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.75,72,60,12,Yuke's,T,PSP,2008,No
LEGO Batman 2: DC Super Heroes,Action,2012,Warner Bros. Interactive Entertainment,0.75,72,52,20,TT Games,E10+,3DS,2012,No
Pro Evolution Soccer 2015,Sports,2014,Konami Digital Entertainment,0.75,82,72,10,Konami,E,PS4,2014,No
Tony Hawk's Underground 2,Sports,2004,Activision,0.75,83,78,5,Neversoft Entertainment,T,XB,2004,No
Madden NFL 06,Sports,2005,Electronic Arts,0.75,75,79,-4,EA,E,PSP,2005,No
Raving Rabbids: Travel in Time,Adventure,2010,Ubisoft,0.75,62,76,-14,Ubisoft,E10+,Wii,2010,No
Capcom vs. SNK 2: Mark of the Millennium 2001,Fighting,2001,Capcom,0.75,81,79,2,Capcom,T,PS2,2001,No
MVP 06 NCAA Baseball,Sports,2006,Electronic Arts,0.75,76,90,-14,EA,E,PS2,2006,No
Coded Arms,Shooter,2005,Konami Digital Entertainment,0.75,59,65,-6,Konami,T,PSP,2005,No
Band Hero,Misc,2009,Activision,0.74,76,57,19,Neversoft Entertainment,E10+,PS3,2009,No
The Godfather II,Action,2009,Electronic Arts,0.74,67,72,-5,EA,M,PS3,2009,No
Need for Speed: Shift,Racing,2009,Electronic Arts,0.74,69,65,4,EA,E,PSP,2009,No
Assassin's Creed: Revelations,Action,2011,Ubisoft,0.74,80,74,6,Ubisoft,M,PC,2011,No
Resident Evil: Revelations,Action,2013,Capcom,0.74,74,72,2,Capcom,M,PS3,2013,No
Tom Clancy's Rainbow Six: Vegas,Shooter,2007,Ubisoft,0.74,60,71,-11,Ubisoft,T,PSP,2007,No
MLB 13: The Show,Sports,2013,Sony Computer Entertainment,0.74,87,78,9,EA,E,PS3,2013,No
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,0.74,82,80,2,TT Games,E10+,WiiU,2013,No
Marvel: Ultimate Alliance 2,Role-Playing,2009,Activision,0.73,74,73,1,Vicarious Visions,T,PS3,2009,No
Tiger Woods PGA Tour 08,Sports,2007,Electronic Arts,0.73,79,66,13,EA,E,PS3,2007,No
Classic NES Series: Donkey Kong,Platform,2004,Nintendo,0.73,55,48,7,Nintendo,E,GBA,2004,No
WWE SmackDown vs. Raw 2010,Fighting,2009,Other,0.73,78,77,1,Yuke's,T,Wii,2009,No
NHL 11,Sports,2010,Electronic Arts,0.73,88,77,11,EA,E10+,X360,2010,No
NCAA Football 07,Sports,2006,Electronic Arts,0.73,79,69,10,EA,E,X360,2006,No
LEGO Marvel's Avengers,Action,2016,Warner Bros. Interactive Entertainment,0.73,71,70,1,TT Games,E10+,PS4,2016,No
Katamari Damacy,Puzzle,2004,Other,0.73,86,90,-4,Namco,E,PS2,2004,No
Just Dance 2015,Misc,2014,Ubisoft,0.73,75,66,9,Ubisoft,E10+,WiiU,2014,No
LEGO Dimensions,Action,2015,Warner Bros. Interactive Entertainment,0.73,80,71,9,Traveller's Tales,E10+,PS4,2015,No
James Bond 007: Agent Under Fire,Shooter,2002,Electronic Arts,0.72,74,68,6,EA,T,GC,2002,No
Star Wars Episode III: Revenge of the Sith,Action,2005,Ubisoft,0.72,73,75,-2,Ubisoft,E10+,GBA,2005,No
Monopoly Streets,Misc,2010,Electronic Arts,0.72,65,52,13,EA,E,Wii,2010,No
NBA Live 08,Sports,2007,Electronic Arts,0.72,68,66,2,EA,E,PS2,2007,No
Dead to Rights,Shooter,2002,Electronic Arts,0.72,73,89,-16,Namco,M,XB,2002,No
Tiger Woods PGA Tour 07,Sports,2006,Electronic Arts,0.72,79,60,19,EA,E,PS2,2006,No
MLB 14: The Show,Sports,2014,Other,0.72,83,77,6,EA,E,PS4,2014,No
Madden NFL 10,Sports,2009,Electronic Arts,0.72,77,72,5,EA,E,Wii,2009,No
MLB 09: The Show,Sports,2009,Sony Computer Entertainment,0.72,90,81,9,EA,E,PS3,2009,No
F1 2011,Racing,2011,Codemasters,0.72,84,71,13,Codemasters,E,X360,2011,No
MLB 10: The Show,Sports,2010,Sony Computer Entertainment,0.72,91,83,8,EA,E,PS3,2010,No
Battlefield: Bad Company 2,Shooter,2010,Electronic Arts,0.72,87,83,4,EA,M,PC,2010,No
DiRT 3,Racing,2011,Codemasters,0.72,87,71,16,Codemasters,T,X360,2011,No
Madden NFL 2003,Sports,2002,Electronic Arts,0.71,92,83,9,EA,E,XB,2002,No
Skate,Sports,2007,Electronic Arts,0.71,86,84,2,EA,T,X360,2007,No
Resident Evil: Survivor,Action,2000,Other,0.71,39,70,-31,Capcom,M,PS,2000,Yes
Madden NFL 08,Sports,2007,Electronic Arts,0.71,75,68,7,EA,E,PSP,2007,No
Madden NFL 09,Sports,2008,Electronic Arts,0.71,68,65,3,EA,E,PSP,2008,No
NBA Live 09,Sports,2008,Electronic Arts,0.71,77,74,3,EA,E,X360,2008,No
NCAA Football 09,Sports,2008,Electronic Arts,0.71,83,77,6,EA,E,X360,2008,No
SSX,Sports,2012,Electronic Arts,0.7,82,64,18,EA,E,X360,2012,No
Tony Hawk's Underground,Sports,2003,Activision,0.7,89,85,4,Neversoft Entertainment,T,GC,2003,No
Spider-Man 2,Action,2005,Activision,0.7,67,69,-2,Vicarious Visions,T,PSP,2005,No
NCAA Football 08,Sports,2007,Electronic Arts,0.7,81,78,3,EA,E,X360,2007,No
Ace Attorney Investigations: Miles Edgeworth,Adventure,2009,Capcom,0.7,78,84,-6,Capcom,T,DS,2009,No
Kill.Switch,Shooter,2003,Sony Computer Entertainment,0.7,73,83,-10,Namco,T,PS2,2003,No
Lego Star Wars: The Force Awakens,Action,2016,Warner Bros. Interactive Entertainment,0.7,78,75,3,TT Games,E10+,PS4,2016,No
NHL 12,Sports,2011,Electronic Arts,0.7,86,70,16,EA,E10+,X360,2011,No
"NASCAR 2001",Racing,2000,Electronic Arts,0.7,66,66,0,EA,E,PS2,2000,No
Ape Escape: On the Loose,Platform,2005,Sony Computer Entertainment,0.7,66,64,2,EA,E,PSP,2005,No
MLB 08: The Show,Sports,2008,Sony Computer Entertainment,0.7,85,87,-2,EA,E,PS3,2008,No
Driver: San Francisco,Racing,2011,Ubisoft,0.7,80,76,4,Ubisoft,T,X360,2011,No
Classic NES Series: Zelda II: The Adventure of Link,Adventure,2004,Nintendo,0.7,73,75,-2,Nintendo,E,GBA,2004,No
MotionSports,Sports,2010,Ubisoft,0.69,40,44,-4,Ubisoft,T,X360,2010,No
Prince of Persia: The Forgotten Sands,Action,2010,Ubisoft,0.69,75,76,-1,Ubisoft,T,PS3,2010,No
Shark Tale,Action,2004,Activision,0.68,63,90,-27,Vicarious Visions,E,GBA,2004,Yes
NBA Street Vol. 2,Sports,2003,Electronic Arts,0.68,89,88,1,EA,E,XB,2003,No
NCAA Football 2005,Sports,2004,Electronic Arts,0.68,89,80,9,EA,E,XB,2004,No
Prince of Persia: The Two Thrones,Action,2005,Ubisoft,0.68,85,85,0,Ubisoft,M,PS2,2005,No
Suikoden II,Role-Playing,1998,Konami Digital Entertainment,0.68,82,84,-2,Konami,T,PS,Before 2000,No
FIFA Soccer 06,Sports,2005,Electronic Arts,0.68,80,75,5,EA,E,XB,2005,No
Fight Night 2004,Fighting,2004,Electronic Arts,0.68,85,87,-2,EA,T,XB,2004,No
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,0.67,71,71,0,TT Games,E10+,PS4,2014,No
Red Steel,Shooter,2006,Ubisoft,0.67,63,68,-5,Ubisoft,T,Wii,2006,No
NFL Street,Sports,2004,Electronic Arts,0.66,81,88,-7,EA,E,XB,2004,No
Blazing Angels: Squadrons of WWII,Simulation,2006,Ubisoft,0.66,67,69,-2,Ubisoft,T,PS3,2006,No
WWE SmackDown vs. RAW 2007,Fighting,2006,Other,0.66,78,81,-3,Yuke's,T,PSP,2006,No
F1 2015,Racing,2015,Codemasters,0.66,65,63,2,Codemasters,E,PS4,2015,No
NHL 10,Sports,2009,Electronic Arts,0.66,88,84,4,EA,E10+,X360,2009,No
Street Fighter Anniversary Collection,Fighting,2004,Capcom,0.66,78,87,-9,Capcom,T,PS2,2004,No
NHL 13,Sports,2012,Electronic Arts,0.66,83,66,17,EA,E10+,X360,2012,No
Rayman Legends,Platform,2013,Ubisoft,0.66,92,87,5,Ubisoft,E10+,WiiU,2013,No
The Sims: Bustin' Out,Simulation,2003,Electronic Arts,0.66,81,90,-9,Maxis,T,GC,2003,No
Tom Clancy's EndWar,Strategy,2008,Ubisoft,0.66,76,66,10,Ubisoft,T,PS3,2008,No
One Piece: Pirate Warriors 2,Action,2013,Other,0.66,71,78,-7,Omega Force,T,PS3,2013,No
LEGO Jurassic World,Action,2015,Warner Bros. Interactive Entertainment,0.65,70,67,3,TT Games,E10+,XOne,2015,No
Shaun White Snowboarding,Sports,2008,Ubisoft,0.65,63,63,0,Ubisoft,T,PS3,2008,No
Monster Jam: Maximum Destruction,Racing,2002,Ubisoft,0.65,47,60,-13,Ubisoft,T,PS2,2002,No
Tiger Woods PGA Tour 09,Sports,2008,Electronic Arts,0.65,82,72,10,EA,E,PS3,2008,No
Tiger Woods PGA Tour 09,Sports,2008,Electronic Arts,0.65,84,78,6,EA,E,X360,2008,No
Harry Potter and the Goblet of Fire,Action,2005,Electronic Arts,0.65,68,67,1,EA,E10+,PS2,2005,No
Tiger Woods PGA Tour 10,Sports,2009,Electronic Arts,0.65,80,69,11,EA,E,X360,2009,No
Crash Bandicoot Purple: Ripto's Rampage,Platform,2004,Other,0.64,67,66,1,Vicarious Visions,E,GBA,2004,No
Assassin's Creed IV: Black Flag,Action,2013,Ubisoft,0.64,84,77,7,Ubisoft,M,PC,2013,No
Crash: Twinsanity,Platform,2004,Other,0.64,64,80,-16,Traveller's Tales,E,PS2,2004,No
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,0.64,68,77,-9,TT Games,E10+,WiiU,2014,No
GoldenEye: Rogue Agent,Shooter,2004,Electronic Arts,0.64,60,70,-10,EA,T,PS2,2004,No
WWE 2K15,Sports,2014,Take-Two Interactive,0.64,50,40,10,Yuke's,T,X360,2014,No
James Bond 007: Everything or Nothing,Shooter,2004,Electronic Arts,0.64,83,74,9,EA,T,XB,2004,No
NBA Live 06,Sports,2005,Electronic Arts,0.64,79,64,15,EA,E,XB,2005,No
Rayman 3D,Platform,2011,Ubisoft,0.64,61,66,-5,Ubisoft,E,3DS,2011,No
Onimusha: Dawn of Dreams,Action,2006,Capcom,0.64,81,89,-8,Capcom,M,PS2,2006,No
Sengoku Basara: Samurai Heroes,Action,2010,Capcom,0.64,61,79,-18,Capcom,T,PS3,2010,No
The Crew,Racing,2014,Ubisoft,0.64,64,59,5,Ubisoft,T,XOne,2014,No
