name,genre,year_of_release,publisher,sales,critic_score,user_score,critic_user_diff,developer,rating,platform,year_choices,stat_diff
LEGO Indiana Jones: The Original Adventures,Action,2008,Activision,3.76,77,75,2,Traveller's Tales,E10+,X360,2008,No
The Sims: Unleashed,Simulation,2002,Electronic Arts,3.76,79,80,-1,Maxis,T,PC,2002,No
Assassin's Creed IV: Black Flag,Action,2013,Ubisoft,3.71,88,81,7,Ubisoft,M,PS3,2013,No
FIFA Soccer 2005,Sports,2004,Electronic Arts,3.7,81,76,5,EA,E,PS2,2004,No
Tony Hawk's Pro Skater 4,Sports,2002,Activision,3.67,94,85,9,Neversoft Entertainment,T,PS2,2002,No
Pro Evolution Soccer 2008,Sports,2007,Konami Digital Entertainment,3.63,82,79,3,Konami,E,PS2,2007,No
Resident Evil 4,Action,2005,Capcom,3.62,96,89,7,Capcom,M,PS2,2005,No
Guitar Hero: World Tour,Misc,2008,Activision,3.62,86,76,10,Vicarious Visions,T,Wii,2008,No
FIFA Soccer 10,Sports,2009,Electronic Arts,3.62,91,76,15,EA,E,PS3,2009,No
Luigi's Mansion,Action,2001,Nintendo,3.6,78,85,-7,Nintendo,E,GC,2001,No
Battlefield 4,Shooter,2013,Electronic Arts,3.59,85,69,16,EA,M,PS4,2013,No
James Bond 007: Agent Under Fire,Shooter,2001,Electronic Arts,3.53,72,79,-7,EA,T,PS2,2001,No
FIFA Soccer 11,Sports,2010,Electronic Arts,3.52,88,75,13,EA,E,X360,2010,No
Assassin's Creed: Unity,Action,2014,Ubisoft,3.5,72,41,31,Ubisoft,M,XOne,2014,Yes
Resident Evil 5,Action,2009,Capcom,3.5,83,75,8,Capcom,M,X360,2009,No
Assassin's Creed: Brotherhood,Action,2010,Ubisoft,3.49,89,83,6,Ubisoft,M,X360,2010,No
Battlefield 4,Shooter,2013,Electronic Arts,3.49,80,58,22,EA,M,PS3,2013,No
Battlefield 4,Shooter,2013,Electronic Arts,3.48,79,56,23,EA,M,X360,2013,No
Battlefield: Bad Company 2,Shooter,2010,Electronic Arts,3.47,88,86,2,EA,M,X360,2010,No
Guitar Hero: On Tour,Misc,2008,Activision,3.46,71,88,-17,Vicarious Visions,E10+,DS,2008,No
Tekken 4,Fighting,2002,Other,3.44,79,83,-4,Namco,T,PS2,2002,No
FIFA Soccer 2003,Sports,2002,Electronic Arts,3.4,88,67,21,EA,E,PS2,2002,No
Assassin's Creed Syndicate,Action,2015,Ubisoft,3.39,76,68,8,Ubisoft,M,PS4,2015,No
LEGO Batman: The Videogame,Action,2008,Warner Bros. Interactive Entertainment,3.38,76,79,-3,Traveller's Tales,E10+,X360,2008,No
Far Cry 3,Shooter,2012,Ubisoft,3.35,90,85,5,Ubisoft,M,PS3,2012,No
The Legend of Zelda: Spirit Tracks,Action,2009,Nintendo,3.31,87,78,9,Nintendo,E10+,DS,2009,No
Assassin's Creed IV: Black Flag,Action,2013,Ubisoft,3.3,86,79,7,Ubisoft,M,X360,2013,No
The Lord of the Rings: The Return of the King,Action,2003,Electronic Arts,3.28,85,87,-2,EA,T,PS2,2003,No
FIFA 16,Sports,2015,Electronic Arts,3.25,84,44,40,EA,E,XOne,2015,Yes
Wii Music,Misc,2008,Nintendo,3.25,63,46,17,Nintendo,E,Wii,2008,No
Madden NFL 16,Sports,2015,Electronic Arts,3.24,83,59,24,EA,E,PS4,2015,No
Super Mario Maker,Platform,2015,Nintendo,3.21,88,87,1,Nintendo,E,WiiU,2015,No
Ace Combat 04: Shattered Skies,Simulation,2001,Other,3.17,89,91,-2,Namco,E,PS2,2001,No
Animal Crossing,Simulation,2001,Nintendo,3.15,87,89,-2,Nintendo,E,GC,2001,No
FIFA Soccer 08,Sports,2007,Electronic Arts,3.14,83,65,18,EA,E,PS2,2007,No
Spider-Man,Action,2000,Activision,3.13,87,90,-3,Neversoft Entertainment,E,PS,2000,No
Rhythm Heaven,Misc,2008,Nintendo,3.11,83,90,-7,Nintendo,E,DS,2008,No
The Legend of Zelda: A Link Between Worlds,Action,2013,Nintendo,3.1,91,89,2,Nintendo,E,3DS,2013,No
Resident Evil 6,Shooter,2012,Capcom,3.1,74,54,20,Capcom,M,PS3,2012,No
Madden NFL 2002,Sports,2001,Electronic Arts,3.08,94,79,15,EA,E,PS2,2001,No
The Sims: Vacation,Simulation,2002,Electronic Arts,3.07,75,78,-3,Maxis,T,PC,2002,No
Animal Crossing: Happy Home Designer,Simulation,2015,Nintendo,3.05,66,69,-3,Nintendo,E,3DS,2015,No
